file,target,trans_src_count
src/test/llm/output_parsers/qwen3coder_output_parser_test.cpp,//src:test_llm_output_parser_tests,30
src/test/llm/output_parsers/stream_output_cache_test.cpp,//src:test_llm_output_parser_tests,30
src/test/llm/text_streamer_test.cpp,//src:ovms_test,379
src/test/llm/tokenize_endpoint_test.cpp,//src:ovms_test,379
src/test/llm/visual_language_model/complete_flow_test.cpp,//src:ovms_test,379
src/test/llm/visual_language_model/initialization_test.cpp,//src:ovms_test,379
src/test/localfilesystem_test.cpp,//src:ovms_test,379
src/test/mediapipe/calculators/exceptionduringclosecalculator.cpp,//src/test/mediapipe/calculators:mediapipe_test_calculators,246
src/test/mediapipe/calculators/exceptionduringgetcontractcalculator.cpp,//src/test/mediapipe/calculators:mediapipe_test_calculators,246
src/test/mediapipe/calculators/exceptionduringopencalculator.cpp,//src/test/mediapipe/calculators:mediapipe_test_calculators,246
src/test/mediapipe/calculators/exceptionduringprocesscalculator.cpp,//src/test/mediapipe/calculators:mediapipe_test_calculators,246
src/test/mediapipe/calculators/multipart_accepting_calculator.cpp,//src/test/mediapipe/calculators:dependency_free_http_test_calculators,2
src/test/mediapipe/calculators/negative_calculator.cc,//src/test/mediapipe/calculators:mediapipe_test_calculators,246
src/test/mediapipe/calculators/nooutputstreamsproducedcalculator.cpp,//src/test/mediapipe/calculators:mediapipe_test_calculators,246
src/test/mediapipe/calculators/openai_chat_completions_mock_calculator.cpp,//src/test/mediapipe/calculators:dependency_free_http_test_calculators,2
src/test/mediapipe/calculators/ovms_calculator.cc,//src/test/mediapipe/calculators:mediapipe_test_calculators,246
src/test/mediapipe/calculators/ovms_image_input_calculator.cc,//src/test/mediapipe/calculators:mediapipe_test_calculators,246
src/test/mediapipe/calculators/ovms_kfs_calculator.cc,//src/test/mediapipe/calculators:mediapipe_test_calculators,246
src/test/mediapipe/calculators/ovmscalculator.pb.cc,//src/test/mediapipe/calculators:ovmscalculatoroptions_cc_proto,1
src/test/mediapipe/calculators/ovmscalculatoroptions_options_lib.cc,//src/test/mediapipe/calculators:ovmscalculatoroptions_options_registry,2
src/test/mediapipe/calculators/streaming_test_calculator.cpp,//src/test/mediapipe/calculators:mediapipe_test_calculators,246
src/test/mediapipe/calculators/two_input_calculator.cpp,//src/test/mediapipe/calculators:mediapipe_test_calculators,246
src/test/mediapipe/inputsidepacketusertestcalc.cc,//src:ovms_test,379
src/test/mediapipe_framework_test.cpp,//src:ovms_test,379
src/test/mediapipe_validation_test.cpp,//src:ovms_test,379
src/test/mediapipeflow_test.cpp,//src:ovms_test,379
src/test/metric_config_test.cpp,//src:ovms_test,379
src/test/metrics_flow_test.cpp,//src:ovms_test,379
src/test/metrics_test.cpp,//src:ovms_test,379
src/test/model_cache_test.cpp,//src:ovms_test,379
src/test/model_service_test.cpp,//src:ovms_test,379
src/test/model_test.cpp,//src:ovms_test,379
src/test/model_version_policy_test.cpp,//src:ovms_test,379
src/test/modelconfig_test.cpp,//src:ovms_test,379
src/test/modelinstance_test.cpp,//src:ovms_test,379
src/test/modelmanager_test.cpp,//src:ovms_test,379
src/test/modelversionstatus_test.cpp,//src:ovms_test,379
src/test/multi_part_parser_drogon_test.cpp,//src:ovms_test,379
src/test/multipart_calculator_test.cpp,//src:ovms_test,379
src/test/network_utils_test.cpp,//src:network_utils_test,239
